name,form,orifice.diameter,base.diameter,bneck.diameter,wide.diameter,height,rim.thickness
1608-101,bottle,5.48,1.5,3.63,15.9,17.5,1.3
1608-102,bottle,6.26,2,4.58,15.6,23.7,0.58
1608-111,jar,3.37,4,3.9,16.1,23.1,0.42
1608-121,jar,9.05,2.5,5.29,19.4,23.9,0.55
1608-122,bottle,6.5,5.2,4.1,19.2,21.9,0.57
1608-124,bottle,8.22,4.4,6.18,16.6,20,0.71
1608-125,bottle,7.56,3.8,5.09,16.5,19.8,0.78
1608-126,jar,5.17,4,4.74,17.9,24.8,0.61
1608-129,jar,5.8,2,4.76,16.9,19.4,0.6
1608-131,jar,4.74,3.5,4.32,20,25.7,0.53
1608-140,bottle,5.32,3.2,5.15,17.3,22.1,0.51
1608-141,bottle,3.39,3.5,3.04,16.7,19.3,0.51
1608-36,bottle,5.99,3,5.16,16.4,18.5,0.7
1608-39,jar,3.05,2.5,3.72,12.1,16.2,0.52
1608-44,jar,3.21,5.5,3.53,18.1,24,0.41
1608-46,bottle,7.6,4,5.1,18.4,22.5,0.6
1608-47,bottle,5.35,2.5,4.7,17.4,15,0.46
1608-48,jar,2.52,3.5,3.2,14.8,17.2,0.3
1608-49,bottle,4.91,3.5,3.68,14.1,16.4,0.49
1608-50,bottle,9.27,3,5.35,18,27.9,0.7
1608-52,bottle,4.37,3,5.39,17.9,22.2,0.48
1608-52x,jar,6.17,4.5,3.48,15.6,16.5,0.54
1608-59,bottle,4.72,2.5,3.05,15.3,18.1,0.9
1608-60,jar,4.49,3,4.2,13.3,16.8,0.56
1608-68,bottle,8.21,2.5,6.05,25.2,25.4,0.68
PEX-35,jar,9.6,4.5,7.83,13.5,20.2,0.79
1608-73,jar,4.32,2,5.83,18.3,23.2,0.54
1608-74,jar,2.06,6,5.63,15.1,24.7,0.5
1608-75,bottle,7.75,6,4.77,21.4,26.1,0.63
1608-76,bottle,6.77,5,5.28,16.8,22.4,0.55
1608-81,jar,2.7,2.5,3.22,11.2,16,0.32
1608-82,bottle,6.8,3,5.1,25.4,18,0.63
1608-163,jar,3.45,4.5,3.28,18.5,19.4,0.41
1608-84,jar,3.02,4,3.89,13.3,16.9,0.47
1608-86,bottle,6.64,3.5,3.84,26,17,0.86
1608-88,bottle,6.11,2,4.27,13.9,13.8,0.61
1608-92,jar,4.98,3.5,5.39,10.7,14.3,0.59
2058-54,bottle,3.47,4.5,4.38,13.5,19.4,0.8
2066-14,jar,3.1,4.5,3.92,14.3,19.2,0.34
2389-44,bottle,3.95,4.5,3.97,20.7,27.8,0.57
