vessel,group,type
160846,zoomorph,bottle
160848,anthropomorph,jar
160849,anthropomorph,bottle
160852x,anthropomorph,jar
160860,anthropomorph,jar
160882,zoomorph,bottle
160884,zoomorph,jar
160886,zoomorph,bottle
160836,phytomorph,bottle
1608101,phytomorph,bottle
160881,anthropomorph,jar
160873,anthropomorph,jar
160888,anthropomorph,bottle
1608124,zoomorph,bottle
160839,zoomorph,jar
160844,anthropomorph,jar
160847,anthropomorph,bottle
160850,anthropomorph,bottle
160852,zoomorph,bottle
160859,zoomorph,bottle
160868,zoomorph,bottle
160870,zoomorph,bottle
160874,zoomorph,jar
160875,anthropomorph,bottle
160876,anthropomorph,bottle
160883,anthropomorph,bottle
160889,zoomorph,bottle
160892,anthropomorph,jar
1608102,phytomorph,bottle
1608111,anthropomorph,jar
1608118,zoomorph,bottle
1608120,zoomorph,jar
1608121,phytomorph,jar
1608122,zoomorph,bottle
1608125,zoomorph,bottle
1608126,zoomorph,jar
1608128,zoomorph,bottle
1608129,zoomorph,jar
1608131,zoomorph,jar
1608140,zoomorph,bottle
1608141,anthropomorph,bottle
1608163,zoomorph,jar
205854,anthropomorph,bottle
206614,zoomorph,jar
238944,phytomorph,bottle
A10001431,zoomorph,bottle
PEX35,zoomorph,bottle
PEX146,zoomorph,jar
